session leader,セッションリーダ[POSIX]
session membership,セッションメンバシップ[POSIX]
set,集合[POSIX]
set-group-ID,グループ ID設定[POSIX]
set-user-ID,ユーザ ID設定
shared lock,共有ロック[POSIX]
signal,シグナル[POSIX]
signal-catching function,シグナル捕そく関数[POSIX]
size,"大きさ,(block size 等では)「サイズ」も可[general]"
slash,スラッシュ[POSIX]
special character,特殊文字 (troff.1 参照)[groff_out.5]
special character,特殊文字[POSIX]
special file,特殊ファイル[POSIX]
special font,"スペシャルフォント[troff.1,groff_out.5]"
specify,"規定する,指定する[POSIX]"
standard time,標準時[POSIX]
standard time zone,標準時間帯[POSIX]
standout,"強調表示[termcap.5,terminfo.5]"
start/stop input(output) control,スタート/ストップ入(出)力制御[POSIX]
static data,静的データ[POSIX]
status information,状態情報[POSIX]
sticky,"スティッキ [rename.2,chmod.1,ls.1,sticky.8]"
stop (a process),(プロセスを)停止する[POSIX]
string,文字列[POSIX]
string handling,文字列操作[POSIX]
structure,"構造体[POSIX,C]"
subexpression,サブ式[re_format.5]
subroutine,サブルーチン[gctags.1]
subscript name,添字名[POSIX]
subscript value,添字値[POSIX]
substring,サブストリング[re_format.5]
successful completion,正常終了[POSIX]
suffix,サフィックス(サフィクスでなく)[kana]
summer time,夏時間[POSIX]
summer time zone,夏時間帯[POSIX]
super,スーパ(スーパーでなく)[kana]
supplementary group ID,補助グループ ID[POSIX]
supported,支援されている(POSIX では特殊な意味をもつ)[POSIX]
suspend,(プロセスを)中断する[POSIX]
switch,スイッチ(スィッチでなく)[kana]
symbolic constant,シンボル定数
symbolic link,シンボリックリンク
symbolic name,シンボル名
symbolic value,シンボル記号値
symbol table,シンボルテーブル[stab.5]
system,システム[POSIX]
system CPU time,システム CPU 時間
system databases,システムデータベース[POSIX]
system documentation,システム文書[POSIX]
system limit,システム限界[POSIX]
system name,システム名[POSIX]
system start-up time,システム起動時間[POSIX]
system time,システム時間[POSIX]
system variable,システム変数[POSIX]
terminal,"端末[termcap.5,POSIX]"
terminal attribute,端末属性[POSIX]
terminal canonical input queue,端末の標準モード入力待ち行列[POSIX]
terminal device,端末デバイス(POSIXでは「端末装置」)
terminal device file,端末デバイスファイル
terminal device name,端末デバイス名
terminal file,端末ファイル[POSIX]
terminal input queue,端末の入力待ち行列[POSIX]
terminal interface,端末インタフェース[POSIX]
terminal line,端末回線[gettytab.5]
terminate,(プロセスを)終了する[POSIX]
template,テンプレート
text,"テキスト[termcap.5,POSIX]"
text streams,テキストストリーム[POSIX]
tilde,"チルダ [tcsh.1] (""~"" のこと)"
time zone,時間帯[POSIX]
timeout,タイムアウト[POSIX]
timer,タイマ[POSIX]
top margin,上マージン[termcap.5]
trailer,トレーラ[POSIX]
truncate,切り捨てる[POSIX]
trunk,幹[rcsfile.5]
trusted host,信頼できるホスト[hosts.lpd.5]
type,型[gctags.1]
type XXX,XXX 型[POSIX]
type conversion,型変換[POSIX]
undefined,"(動作が)未定義である[POSIX,C](see unspecified)"
undefined behavior,未定義の動作[POSIX]
underline,下線[termcap.5]
unlink,アンリンク[POSIX]
unlock,アンロック[POSIX]
unsigned integral type,符号無し汎整数型[POSIX]
unspecified,"(動作が)未規定である[POSIX,C](see undefined)"
update,更新する[POSIX]
uppercase leters,大文字[POSIX]
user,ユーザ(ユーザーでなく)[kana]
user ID,ユーザ ID(POSIXでは利用者ID)
user name,ユーザ名(POSIXでは利用者名)
user program,ユーザプログラム(POSIXでは利用者プログラム)
valid file descriptor,"正当なファイル記述子(POSIXでは""妥当なファイル記述子"""
valid,正当な[general]
variable,変数[POSIX]
virtual terminal,仮想端末[termcap.5]
vnode,vnode
whitespace,空白(スペース、タブ、改行文字をまとめて呼ぶ)(Cでは空白類文字)
window,ウィンドウ(ウインドウでなく)[kana]
working directory,作業ディレクトリ[POSIX]
wrapper,ラッパ
write,"書込み,書き込み(動詞)[POSIX]"
write access permission,書込みアクセス許可[POSIX]
write lock,書込みロック[POSIX]
write permission,書込み許可[POSIX]
write-only,書込み専用[POSIX]
X Window System,X Window System
zero,0(ゼロでなく)[POSIX]
zero-base Julian day,0から始まるユリウス日[POSIX]
